investor_name,investor_permalink,country_code,state_code,region,city,investment_count,funding_round_types,num_portfolio_companies
Xeraya Capital,/organization/xeraya-capital,MYS,14,Kuala Lumpur,Kuala Lumpur,4,venture,4
Fosun Kinzon Capital,/organization/fosun-kinzon-capital,USA,CA,SF Bay Area,Palo Alto,4,seed|venture,4
New York State Common Retirement Fund,/organization/new-york-state-common-retirement-fund,USA,NY,Bowling Green,Albany,4,grant|venture,4
DTE Energy Ventures,/organization/dte-energy-ventures,USA,MI,Detroit,Ann Arbor,4,venture,2
Global Asset Fund,/organization/global-asset-fund,DEU,2,Landshut,Landshut,4,venture,1
Matt Monahan,/person/matt-monahan,,,,,4,seed,3
Redline Capital Management S. A. (RCM),/organization/redline-capital-management,LUX,3,Luxemburg,Luxembourg,4,venture,3
Social Venture Fund,/organization/social-venture-fund,USA,MI,Detroit,Ann Arbor,4,seed|undisclosed|venture,4
Harbert Management Corporation,/organization/harbert-management-corporation,USA,AL,Birmingham,Birmingham,4,venture,3
Stefan Winzenried,/person/stefan-winzenried,,,,,4,angel|seed|venture,1
Quest Software,/organization/quest-software,USA,CA,Anaheim,Aliso Viejo,4,angel|venture,4
Coent Venture Partners,/organization/coent-venture-partners,,,,,4,seed|venture,4
BR Ventures,/organization/br-ventures,USA,NY,Elmira,Ithaca,4,angel|seed|undisclosed|venture,4
Landis Capital,/organization/landis-capital,,,,,4,seed|venture,2
Paytm,/organization/paytm,IND,36,New Delhi,Noida,4,venture,3
Hany Nada,/person/hany-nada,USA,,,San Francisco,4,angel|convertible_note|seed,2
Warren Stephens,/person/warren-stephens,,,,,4,venture,2
Ed Wray,/person/ed-wray,,,,,4,seed|venture,3
Bright Success Capital,/organization/bright-success-capital,HKG,,Hong Kong,Hong Kong,4,undisclosed|venture,3
CIC Vizille Capital Innovation,/organization/cic-vizille-capital-innovation,,,,,4,venture,4
M & Y Growth Partners,/organization/m-y-growth-partners,,,,,4,venture,2
Mark Williamson,/person/mark-williamson-2,,,,,4,seed|venture,2
GCP Capital Partners,/organization/gcp-capital-partners,USA,NY,New York City,New York,4,private_equity|venture,3
Grape Arbor VC,/organization/grape-arbor-vc,,,,,4,seed|venture,2
Glavstart,/organization/glavstart,RUS,48,Moscow,Moscow,4,angel|seed,4
Lucid Ventures,/organization/lucid-ventures,,,,,4,angel|venture,2
The Colorado Impact Fund,/organization/the-colorado-impact-fund,USA,CO,Denver,Denver,4,venture,4
Grenoble Angels,/organization/grenoble-angels,FRA,B9,Grenoble,Grenoble,4,angel|venture,4
Fortune Venture Investment Group,/organization/fortune-venture-group,TWN,3,Taiwan,Taipei,4,venture,4
Hamilton Lane,/organization/hamilton-lane,USA,PA,Philadelphia,Bala Cynwyd,4,venture,3
Felix Haas,/person/felix-haas,,,,,4,angel|seed|venture,4
Spinner Asset Management,/organization/spinner-asset-management,USA,NY,New York City,New York,4,venture,3
Bedrock Ventures,/organization/bedrock-ventures,,,,,4,seed|undisclosed,4
Marc van der Chijs,/person/marc-van-der-chijs,,,,,4,seed|venture,4
BRED Banque,/organization/bred-banque,FRA,A6,,,4,venture,1
